"year","iteration","sAg","ppnCUsLowerBM"
41,"13",91217.714262554,NA
41,"14",66645.0372069079,NA
41,"15",127268.47284211,NA
41,"16",168550.322898639,NA
41,"17",107192.812709561,NA
41,"18",119773.58260269,NA
41,"19",141610.336525752,NA
41,"20",120617.435492104,NA
42,"1",123575.970334669,NA
42,"2",128460.360161767,NA
42,"3",93926.9159137204,NA
42,"4",60949.3109689188,NA
42,"5",101437.914374943,NA
42,"6",167136.863184177,NA
42,"7",90802.9898150401,NA
42,"8",166350.123505716,NA
42,"9",164947.193450753,NA
42,"10",80902.6101558033,NA
42,"11",121897.476942455,NA
42,"12",78804.6638578783,NA
42,"13",56267.9067591652,NA
42,"14",79608.0451594839,NA
42,"15",133732.056451507,NA
42,"16",174363.888372763,NA
42,"17",159945.436903565,NA
42,"18",151798.752442736,NA
42,"19",97810.9425102137,NA
42,"20",120299.140927796,NA
43,"1",72958.6321639613,NA
43,"2",118259.257985219,NA
43,"3",173602.611701938,NA
43,"4",118148.422711063,NA
43,"5",122598.910569458,NA
43,"6",89788.9721708949,NA
43,"7",138586.772547768,NA
43,"8",89068.355507333,NA
43,"9",197133.653700485,NA
43,"10",95053.5267833117,NA
43,"11",176621.762756887,NA
43,"12",96456.5997939042,NA
43,"13",89266.4435788809,NA
43,"14",122633.320717624,NA
43,"15",121673.578643301,NA
43,"16",141102.836861704,NA
43,"17",142615.428421788,NA
43,"18",73542.3962354799,NA
43,"19",78999.4365329075,NA
43,"20",122216.292855776,NA
44,"1",103259.772661922,NA
44,"2",147784.278988669,NA
44,"3",141314.88375003,NA
44,"4",65202.6417915904,NA
44,"5",132780.388596533,NA
44,"6",140628.00719122,NA
44,"7",178351.701073724,NA
44,"8",70024.6779039951,NA
44,"9",134465.753802321,NA
44,"10",189977.570365474,NA
44,"11",37801.6461599721,NA
44,"12",116279.221207751,NA
44,"13",97400.3215002537,NA
44,"14",128102.643749417,NA
44,"15",125848.457107033,NA
44,"16",140684.757734967,NA
44,"17",120246.066742867,NA
44,"18",164730.921253006,NA
44,"19",97193.4311219879,NA
44,"20",65447.7365400374,NA
45,"1",123636.715120711,NA
45,"2",267429.359415929,NA
45,"3",103557.900959148,NA
45,"4",148630.792431659,NA
45,"5",78621.3453762869,NA
45,"6",99247.3802184879,NA
45,"7",137003.788462884,NA
45,"8",145734.665018566,NA
45,"9",156872.596671012,NA
45,"10",100678.97659168,NA
45,"11",140825.919995314,NA
45,"12",155869.262683961,NA
45,"13",163812.703051705,NA
45,"14",87115.1136312623,NA
45,"15",101846.584799727,NA
45,"16",71862.2748399556,NA
45,"17",167470.479935151,NA
45,"18",164187.802468914,NA
45,"19",122419.949450868,NA
45,"20",102146.302465989,NA
46,"1",105526.958602543,NA
46,"2",134733.605085148,NA
46,"3",113324.674016052,NA
46,"4",216561.329069502,NA
46,"5",100247.752201143,NA
46,"6",229974.070828165,NA
